phase,NP1,NP15,NP17,NP19,NP21,NP32,NP34,NP36,NP38,NP39,NP43,NP45,NP47,NP5,NP55
0.7606556469987891,0.11556329167758658,0.8607642218867188,0.33867104659792185,0.6469906173403559,0.17680730721833288,0.9643041925595065,0.6693101289317309,0.25777360080738204,0.15017833101109668,0.5302285651621595,0.8034456457976233,3.340929744664381e-05,2.8755231400539996e-23,0.30354212037930145,0.2838887314535452
0.7612840283676436,0.11549803909715901,0.8606926535332811,0.33852211371538926,0.646848655599367,0.17687484995428432,0.96423895138311,0.6692197014137562,0.2577469020737579,0.15001677509298397,0.5299978811542707,0.8033643234812933,3.331674618383862e-05,2.84763380709739e-23,0.30339867103147194,0.2838273352539851
0.7619124097364987,0.11543283122820334,0.8606210349365063,0.338373248140879,0.6467066726300359,0.1769424214684966,0.964173692582148,0.669129282546054,0.2577202175054189,0.14985535264776406,0.5297672062416043,0.8032829990496978,3.3224497050688266e-05,2.8200399560677544e-23,0.30325523369639934,0.283765952413025
0.7625407911053537,0.11536766806231741,0.8605493661382037,0.3382244499019394,0.6465646685160639,0.17701002174754063,0.9641084161865625,0.6690388723641153,0.257693547109073,0.1496940636822765,0.529536540590691,0.803201672537253,3.313254899325851e-05,2.792738247830799e-23,0.30311180847775604,0.2837045829519709
0.7631691724742082,0.11530254959106627,0.8604776471802034,0.33807571902602973,0.6464226433411225,0.17707765077795165,0.9640431222262976,0.6689484709034134,0.2576668908914216,0.14953290820305615,0.5293058843679006,0.8031203439783661,3.3040900961455054e-05,2.765725383000772e-23,0.3029683954791006,0.28364322689210864
0.7637975538430632,0.11523747580598238,0.8604058781043574,0.33792705554051977,0.6462805971888538,0.17714530854622965,0.9639778107313003,0.6688580781994029,0.2576402488591594,0.1493718862163334,0.5290752377394428,0.8030390134074347,3.29495519090096e-05,2.738998101446144e-23,0.30282499480387715,0.2835818842547035
0.7644259352119183,0.11517244669856533,0.860334058952539,0.33777845947269053,0.64613853014287,0.177212995038839,0.96391248173152,0.668767694287521,0.2576136210189748,0.14921099772803542,0.5288446008713663,0.8029576808588477,3.2858500793465456e-05,2.712553181801918e-23,0.30268160655541576,0.28352055506100043
0.7650543165807728,0.11510746226028232,0.8602621897666429,0.3376299308497338,0.6459964422867541,0.1772807102422085,0.9638471352569092,0.6686773192031868,0.2575870073775494,0.1490502427437864,0.5286139739295602,0.802876346366985,3.2767746576163805e-05,2.686387440987893e-23,0.30253823083693254,0.2834592393322242
0.7656826979496278,0.11504252248256788,0.8601902705885848,0.3374814696987525,0.6458543337040586,0.17734845414273148,0.9637817713374223,0.668586952981801,0.2575604079415581,0.14888962126890778,0.5283833570797517,0.8027950099662171,3.2677288222229055e-05,2.660497733733458e-23,0.30239486775152874,0.2833979370895792
0.7663110793184824,0.11497762735682425,0.8601183014603019,0.3373330760467608,0.6457122044783068,0.17741622672676552,0.9637163900030166,0.6684965956587464,0.25753382271766967,0.14872913330841966,0.5281527504875078,0.8027136716909052,3.2587124700555225e-05,2.634880952108346e-23,0.3022515174021917,0.2833366483542492
0.7669394606873374,0.11491277687442122,0.8600462824237526,0.337184749920684,0.6455700546929913,0.17748402798063276,0.9636509912836518,0.6684062472693878,0.2575072517125458,0.14856877886704026,0.5279221543182341,0.8026323315754016,3.249725498379172e-05,2.6095340250593557e-23,0.3021081798917938,0.2832753731473979
0.7675678420561924,0.11484797102669635,0.8599742135209164,0.33703649134735875,0.6454278844315754,0.17755185789061964,0.9635855752092902,0.6683159078490718,0.2574806949328418,0.14840855794918748,0.5276915687371753,0.8025509896540493,3.2407678048329584e-05,2.584453917953381e-23,0.30196485532309314,0.2832141114901685
0.768196223425047,0.11478320980495495,0.8599020947937941,0.33688830035353357,0.6452856937774921,0.1776197164429766,0.9635201418098968,0.6682255774331272,0.2574541523852068,0.14824847055897922,0.5274609939094149,0.8024696459611821,3.231839287428734e-05,2.5596376321259282e-23,0.3018215437987335,0.2831528634036841
0.768824604793902,0.11471849320047006,0.8598299262844072,0.3367401769658677,0.6451434828141439,0.17768760362391886,0.9634546911154384,0.6681352560568642,0.2574276240762827,0.14808851670023324,0.5272304299998746,0.8023883005311246,3.2229398445497475e-05,2.5350822044355428e-23,0.3016782454212434,0.283091628909047
0.769452986162757,0.11465382120448296,0.8597577080347987,0.3365921212109328,0.6450012516249034,0.1777555194196255,0.9633892231558849,0.6680449437555753,0.2574011100127054,0.14792869637646872,0.5269998771733149,0.8023069533981921,3.214069374949239e-05,2.5107847068242352e-23,0.30153496029303684,0.28303040802733964
0.7700813675316116,0.11458919380820268,0.8596854400870324,0.3364441331152119,0.6448590002931132,0.17782346381623984,0.9633237379612086,0.6679546405645348,0.25737461020110386,0.14776900959090647,0.5267693355943345,0.8022256045966907,3.205227777749086e-05,2.486742245883218e-23,0.30139168851641335,0.28296920077962395
