NP_code,Model,bins,fpr,tpr
NP36,FC-Based Model,0.8,0.8551485967216305,0.869441816461684
NP36,Shuffled Baseline,0.8,0.8479610277363085,0.8569154355578197
NP36,FC-Based Model,0.9,0.951771515552084,0.9540319439033892
NP36,Shuffled Baseline,0.9,0.9467895574506496,0.9602649006622517
NP36,IEA Cycle-Based Model,0.9,0.9521620701395982,0.9397764900662251
NP34,FC-Based Model,-0.1,0.0,0.004816955684007707
NP34,Shuffled Baseline,-0.1,0.0,0.0038535645472061657
NP34,IEA Cycle-Based Model,-0.1,0.0,0.0
NP34,IEA Cycle-Based Model,0.0,0.037877984084880634,0.06517839346222842
NP34,Shuffled Baseline,0.0,0.04115384615384615,0.06529985549132948
NP34,FC-Based Model,0.0,0.05251282051282051,0.051252408477842
NP34,IEA Cycle-Based Model,0.1,0.15726495726495726,0.1994219653179191
NP34,FC-Based Model,0.1,0.1557190635451505,0.1782483035938678
NP34,Shuffled Baseline,0.1,0.15109311740890688,0.17280194706419227
NP34,IEA Cycle-Based Model,0.2,0.2523076923076923,0.2782824112303881
NP34,FC-Based Model,0.2,0.25214574898785425,0.3168542744143596
NP34,Shuffled Baseline,0.2,0.24779487179487178,0.26512524084778416
NP34,IEA Cycle-Based Model,0.3,0.3595266272189349,0.42996887505558024
NP34,FC-Based Model,0.3,0.34549450549450544,0.4270231213872832
NP34,Shuffled Baseline,0.3,0.34177514792899405,0.36093819475322364
NP34,IEA Cycle-Based Model,0.4,0.4356923076923077,0.5514450867052023
NP34,FC-Based Model,0.4,0.446013986013986,0.5465712033631109
NP34,Shuffled Baseline,0.4,0.4526315789473684,0.44463036203224826
NP34,FC-Based Model,0.5,0.5428571428571428,0.6320189925681255
NP34,Shuffled Baseline,0.5,0.5548076923076923,0.5392882947976878
NP34,IEA Cycle-Based Model,0.5,0.5303846153846153,0.6123554913294798
NP34,Shuffled Baseline,0.6,0.6521266968325792,0.6536892213532812
NP34,FC-Based Model,0.6,0.6518974358974359,0.7157996146435452
NP34,IEA Cycle-Based Model,0.6,0.6386813186813187,0.7002477291494633
NP34,Shuffled Baseline,0.7,0.7502262443438914,0.7622407344440666
NP34,IEA Cycle-Based Model,0.7,0.7612307692307693,0.8011560693641618
NP34,FC-Based Model,0.7,0.7594871794871795,0.8077231856133591
NP34,Shuffled Baseline,0.8,0.8608791208791209,0.8529108175061932
NP34,IEA Cycle-Based Model,0.8,0.8646153846153847,0.8728323699421966
NP34,FC-Based Model,0.8,0.8501775147928995,0.8811694086260561
NP34,FC-Based Model,0.9,0.9514725274725275,0.9601981833195706
NP34,Shuffled Baseline,0.9,0.9491497975708502,0.9558868268938241
NP34,IEA Cycle-Based Model,0.9,0.9505707196029777,0.9555286220399031
NP55,FC-Based Model,-0.1,0.0,0.0
NP55,Shuffled Baseline,-0.1,0.0,0.0
NP55,IEA Cycle-Based Model,-0.1,0.0,0.001694915254237288
NP55,FC-Based Model,0.0,0.05104649529428291,0.05190207156308851
NP55,Shuffled Baseline,0.0,0.05240776922192852,0.037673343605547
NP55,IEA Cycle-Based Model,0.0,0.044789597254831136,0.06198547215496368
NP55,Shuffled Baseline,0.1,0.15300810589722613,0.1336989032901296
NP55,IEA Cycle-Based Model,0.1,0.12895069532237674,0.14915254237288136
NP55,FC-Based Model,0.1,0.14254108723135273,0.15694915254237288
NP55,FC-Based Model,0.2,0.254883569185596,0.2913067249863313
NP55,IEA Cycle-Based Model,0.2,0.21238938053097345,0.288135593220339
NP55,Shuffled Baseline,0.2,0.24168959619245925,0.2337986041874377
NP55,Shuffled Baseline,0.3,0.3475769068689422,0.3489265536723164
NP55,IEA Cycle-Based Model,0.3,0.365865992414665,0.41627118644067795
NP55,FC-Based Model,0.3,0.34960614606632306,0.4217731421121252
NP55,FC-Based Model,0.4,0.46184044181249584,0.5609277430865298
NP55,Shuffled Baseline,0.4,0.4418457648546144,0.4494915254237288
NP55,IEA Cycle-Based Model,0.4,0.4393173198482933,0.5050847457627119
NP55,FC-Based Model,0.5,0.5547408343868521,0.6412429378531074
NP55,Shuffled Baseline,0.5,0.5517628880460739,0.5386064030131826
NP55,IEA Cycle-Based Model,0.5,0.5297092288242731,0.5932203389830508
NP55,FC-Based Model,0.6,0.6400758533501897,0.7322033898305085
NP55,Shuffled Baseline,0.6,0.6503813058195016,0.6377255330781848
NP55,IEA Cycle-Based Model,0.6,0.6055625790139064,0.7016949152542373
NP55,FC-Based Model,0.7,0.7627253975647083,0.815700267618198
